"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"614",614,0,1,0,60,160,7,601001607,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","10% to <20%",">=40%","20% to <30%","10% to <20%"
"615",615,0,1,0,60,160,8,601001608,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"616",616,0,1,0,60,180,4,601001804,"20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"617",617,0,1,0,60,180,5,601001805,"30% to <40%","20% to <30%","30% to <40%","30% to <40%","20% to <30%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%","20% to <30%"
"618",618,0,1,0,60,180,6,601001806,">=40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"619",619,0,1,0,60,180,7,601001807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"620",620,0,1,0,60,180,8,601001808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"621",621,0,1,0,70,120,4,701001204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"622",622,0,1,0,70,120,5,701001205,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"623",623,0,1,0,70,120,6,701001206,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","<10%","<10%"
