"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,1,"65-69","120-139","<4","65-69_1_0_1_120-139_<4",21,13,12,12,12,14,17,12,9,10,10,17,13,12,21,13,14,17,22,14,15
0,1,1,"65-69","<120","<4","65-69_1_0_1_<120_<4",17,10,10,9,9,11,14,9,7,8,8,13,10,10,16,10,12,13,18,11,12
0,1,1,"60-64",">=180","<4","60-64_1_0_1_>=180_<4",32,20,19,18,19,21,25,19,14,16,16,29,19,21,36,18,23,29,32,21,23
0,1,1,"60-64","160-179","<4","60-64_1_0_1_160-179_<4",26,16,15,15,15,17,21,15,11,13,13,22,15,16,27,15,18,22,26,17,18
0,1,1,"60-64","140-159","<4","60-64_1_0_1_140-159_<4",21,12,12,11,12,14,17,12,9,10,10,17,12,12,20,12,14,17,21,14,15
0,1,1,"60-64","120-139","<4","60-64_1_0_1_120-139_<4",16,10,9,9,9,11,14,9,7,8,8,13,10,9,15,10,11,13,17,11,12
0,1,1,"60-64","<120","<4","60-64_1_0_1_<120_<4",13,8,7,7,7,9,11,7,6,6,7,10,8,7,11,8,9,9,14,9,10
0,1,1,"55-59",">=180","<4","55-59_1_0_1_>=180_<4",27,16,16,15,16,17,21,15,12,13,14,24,16,17,28,16,19,23,27,18,19
0,1,1,"55-59","160-179","<4","55-59_1_0_1_160-179_<4",21,13,12,12,12,14,17,12,9,10,11,18,12,13,20,13,14,17,22,14,15
0,1,1,"55-59","140-159","<4","55-59_1_0_1_140-159_<4",16,10,10,9,9,11,14,9,7,8,8,14,10,10,14,10,11,13,17,11,12
0,1,1,"55-59","120-139","<4","55-59_1_0_1_120-139_<4",13,7,7,7,7,8,11,7,6,6,6,10,8,7,10,8,8,9,14,9,9
0,1,1,"55-59","<120","<4","55-59_1_0_1_<120_<4",10,6,6,5,5,7,9,5,4,5,5,7,6,5,7,7,6,7,11,7,7
0,1,1,"50-54",">=180","<4","50-54_1_0_1_>=180_<4",22,14,13,12,13,14,18,13,10,11,11,20,13,14,21,13,15,19,23,16,16
0,1,1,"50-54","160-179","<4","50-54_1_0_1_160-179_<4",17,10,10,9,10,11,14,9,8,8,9,15,10,10,15,11,11,13,18,12,12
0,1,1,"50-54","140-159","<4","50-54_1_0_1_140-159_<4",13,8,8,7,7,9,11,7,6,6,7,11,8,7,10,8,8,10,14,9,9
0,1,1,"50-54","120-139","<4","50-54_1_0_1_120-139_<4",10,6,6,5,5,7,9,5,4,5,5,8,6,5,7,7,6,7,11,7,7
0,1,1,"50-54","<120","<4","50-54_1_0_1_<120_<4",7,4,4,4,4,5,7,4,3,3,4,5,5,4,5,5,5,5,8,5,6
0,1,1,"45-49",">=180","<4","45-49_1_0_1_>=180_<4",19,11,11,10,10,12,15,10,8,9,10,17,11,11,16,11,12,15,19,13,13
0,1,1,"45-49","160-179","<4","45-49_1_0_1_160-179_<4",14,8,8,7,8,9,11,8,6,6,7,12,8,8,11,9,9,10,15,10,10
0,1,1,"45-49","140-159","<4","45-49_1_0_1_140-159_<4",10,6,6,5,6,7,9,6,5,5,5,8,6,6,8,7,7,7,11,7,7
0,1,1,"45-49","120-139","<4","45-49_1_0_1_120-139_<4",8,4,4,4,4,5,7,4,3,4,4,6,5,4,5,5,5,5,9,5,6
0,1,1,"45-49","<120","<4","45-49_1_0_1_<120_<4",6,3,3,3,3,4,5,3,3,3,3,4,3,3,3,4,3,3,6,4,4
0,1,1,"40-44",">=180","<4","40-44_1_0_1_>=180_<4",15,9,9,8,9,10,13,9,7,7,8,14,9,9,12,10,10,12,16,11,11
0,1,1,"40-44","160-179","<4","40-44_1_0_1_160-179_<4",11,7,6,6,6,7,9,6,5,5,6,10,7,6,8,7,7,8,12,8,8
